R1,R2,R3,R4,R5,R6,R7,R8,F1,F2,F3,F4,F5,F6,F7,F8,L1,L2,L3,L4,L5,L6,L7,L8,x
0.225230,1.000000,0.618020,0.275680,0.436360,0.996400,0.236360,0.963640,Alto,Medio,Medio,Medio,Alto,Medio,Alto,Medio,125,55,343,153,24,553,13,53,Alto
0.237840,1.000000,0.796400,0.277480,0.618180,0.454050,0.218180,0.436360,Medio,Medio,Alto,Medio,Bajo,Medio,Medio,Medio,132,55,442,154,34,252,12,24,Medio
1.000000,1.000000,0.992790,1.000000,1.000000,0.992790,0.927270,1.000000,Alto,Medio,Medio,Medio,Medio,Alto,Medio,Medio,555,55,551,555,55,551,51,55,Medio
0.434230,0.581820,0.205410,0.416220,0.745450,0.223420,0.436360,0.200000,Medio,Medio,Bajo,Bajo,Medio,Medio,Medio,Bajo,241,32,114,231,41,124,24,11,Bajo
0.439640,0.200000,0.454050,0.381980,0.818180,0.742340,0.400000,0.763640,Medio,Medio,Alto,Bajo,Alto,Medio,Medio,Alto,244,11,252,212,45,412,22,42,Medio
0.383780,0.600000,0.962160,0.423420,0.236360,0.601800,0.436360,0.636360,Medio,Medio,Alto,Medio,Medio,Medio,Medio,Medio,213,33,534,235,13,334,24,35,Medio
0.926130,0.436360,0.747750,0.944140,0.200000,0.801800,1.000000,0.800000,Bajo,Medio,Bajo,Alto,Medio,Medio,Medio,Medio,514,24,415,524,11,445,55,44,Medio
0.383780,0.400000,0.403600,0.400000,0.218180,0.583780,0.436360,0.581820,Medio,Medio,Medio,Alto,Medio,Medio,Medio,Alto,213,22,224,222,12,324,24,32,Medio
0.454050,1.000000,0.277480,0.452250,1.000000,0.457660,0.436360,0.381820,Medio,Medio,Medio,Medio,Medio,Alto,Medio,Medio,252,55,154,251,55,254,24,21,Medio
0.275680,1.000000,0.383780,0.273870,0.927270,0.636040,0.236360,0.581820,Bajo,Medio,Medio,Medio,Medio,Alto,Alto,Alto,153,55,213,152,51,353,13,32,Medio
0.261260,0.800000,0.239640,0.254050,0.781820,0.978380,0.236360,0.927270,Medio,Alto,Bajo,Medio,Medio,Alto,Alto,Alto,145,44,133,141,43,543,13,51,Alto
0.816220,0.781820,0.380180,0.796400,0.927270,0.596400,0.745450,0.581820,Medio,Medio,Medio,Alto,Medio,Alto,Medio,Alto,453,43,211,442,51,331,41,32,Alto
0.783780,0.236360,0.207210,0.740540,0.563640,0.963960,0.818180,0.927270,Alto,Alto,Medio,Medio,Medio,Medio,Medio,Alto,435,13,115,411,31,535,45,51,Alto
0.960360,0.454550,0.419820,0.940540,0.600000,0.636040,0.963640,0.581820,Medio,Medio,Medio,Medio,Medio,Alto,Medio,Alto,533,25,233,522,33,353,53,32,Medio
0.381980,0.963640,0.780180,0.457660,0.236360,0.419820,0.418180,0.436360,Medio,Medio,Medio,Medio,Medio,Alto,Medio,Medio,212,53,433,254,13,233,23,24,Medio
0.452250,0.418180,0.634230,0.401800,1.000000,0.237840,0.400000,0.236360,Medio,Alto,Medio,Medio,Medio,Medio,Medio,Alto,251,23,352,223,55,132,22,13,Medio
0.603600,0.581820,0.279280,0.596400,0.636360,0.945950,0.636360,0.927270,Medio,Medio,Medio,Medio,Bajo,Medio,Bajo,Alto,335,32,155,331,35,525,35,51,Medio
0.639640,0.800000,0.441440,0.616220,0.981820,0.981980,0.636360,0.945450,Alto,Alto,Bajo,Medio,Medio,Medio,Bajo,Medio,355,44,245,342,54,545,35,52,Medio
0.223420,0.781820,0.598200,0.257660,0.418180,0.778380,0.218180,0.781820,Alto,Medio,Bajo,Medio,Medio,Medio,Medio,Medio,124,43,332,143,23,432,12,43,Medio
0.207210,1.000000,0.940540,0.279280,0.218180,0.994590,0.218180,1.000000,Medio,Medio,Medio,Medio,Medio,Bajo,Medio,Medio,115,55,522,155,12,552,12,55,Medio
0.436040,0.236360,0.924320,0.387390,0.745450,0.419820,0.418180,0.454550,Medio,Alto,Medio,Bajo,Medio,Alto,Medio,Medio,242,13,513,215,41,233,23,25,Medio
0.580180,0.236360,0.277480,0.560360,0.454550,0.421620,0.618180,0.381820,Medio,Alto,Medio,Medio,Medio,Bajo,Alto,Medio,322,13,154,311,25,234,34,21,Medio
0.243240,0.818180,0.780180,0.259460,0.600000,0.996400,0.236360,0.981820,Medio,Alto,Medio,Bajo,Medio,Medio,Alto,Medio,135,45,433,144,33,553,13,54,Medio
0.218020,0.381820,0.254050,0.218020,0.436360,0.200000,0.200000,0.200000,Medio,Alto,Medio,Medio,Alto,Bajo,Bajo,Bajo,121,21,141,121,24,111,11,11,Medio
0.958560,0.563640,0.742340,0.962160,0.563640,0.381980,0.945450,0.436360,Alto,Medio,Medio,Medio,Medio,Medio,Medio,Medio,532,31,412,534,31,212,52,24,Medio
0.962160,0.763640,0.920720,0.981980,0.563640,0.758560,0.927270,0.818180,Medio,Medio,Medio,Alto,Medio,Medio,Medio,Medio,534,42,511,545,31,421,51,45,Medio
0.922520,0.200000,0.819820,0.926130,0.272730,0.387390,1.000000,0.436360,Alto,Medio,Medio,Alto,Medio,Medio,Medio,Medio,512,11,455,514,15,215,55,24,Medio
0.920720,0.581820,0.962160,0.963960,0.236360,0.223420,0.981820,0.272730,Medio,Medio,Alto,Bajo,Medio,Medio,Medio,Medio,511,32,534,535,13,124,54,15,Medio
0.980180,1.000000,0.963960,1.000000,0.781820,0.819820,1.000000,0.818180,Alto,Medio,Medio,Medio,Medio,Medio,Medio,Medio,544,55,535,555,43,455,55,45,Medio
0.814410,0.781820,0.578380,0.798200,0.945450,0.416220,0.745450,0.418180,Bajo,Medio,Alto,Medio,Medio,Alto,Medio,Medio,452,43,321,443,52,231,41,23,Medio
0.781980,0.781820,0.962160,0.801800,0.600000,0.781980,0.800000,0.818180,Alto,Medio,Alto,Alto,Medio,Alto,Medio,Medio,434,43,534,445,33,434,44,45,Alto
0.765770,0.636360,0.992790,0.783780,0.454550,0.992790,0.745450,1.000000,Alto,Bajo,Medio,Medio,Medio,Alto,Medio,Medio,425,35,551,435,25,551,41,55,Medio
0.241440,0.563640,0.994590,0.243240,0.636360,0.742340,0.218180,0.818180,Medio,Medio,Medio,Bajo,Bajo,Medio,Medio,Medio,134,31,552,135,35,412,12,45,Bajo
0.401800,0.236360,0.760360,0.385590,0.400000,0.598200,0.400000,0.618180,Medio,Alto,Medio,Medio,Alto,Bajo,Medio,Medio,223,13,422,214,22,332,22,34,Medio
0.254050,0.254550,0.439640,0.201800,0.800000,0.259460,0.254550,0.218180,Medio,Medio,Medio,Medio,Medio,Medio,Bajo,Bajo,141,14,244,112,44,144,14,12,Bajo
0.455860,0.636360,0.924320,0.423420,0.927270,0.636040,0.418180,0.636360,Medio,Bajo,Medio,Medio,Medio,Alto,Medio,Medio,253,35,513,235,51,353,23,35,Medio
0.798200,0.381820,0.818020,0.763960,0.818180,0.565770,0.800000,0.618180,Medio,Alto,Medio,Bajo,Alto,Medio,Medio,Medio,443,21,454,424,45,314,44,34,Medio
0.927930,0.618180,0.812610,0.962160,0.272730,0.974770,0.927270,0.981820,Medio,Medio,Medio,Medio,Medio,Medio,Medio,Medio,515,34,451,534,15,541,51,54,Medio
0.434230,0.818180,0.381980,0.436040,0.745450,0.273870,0.400000,0.218180,Medio,Alto,Medio,Medio,Medio,Alto,Medio,Bajo,241,45,212,242,41,152,22,12,Medio
0.778380,0.200000,0.796400,0.745950,0.618180,0.381980,0.763640,0.436360,Alto,Medio,Alto,Medio,Bajo,Medio,Alto,Medio,432,11,442,414,34,212,42,24,Medio
0.927930,0.800000,0.454050,0.976580,0.272730,0.976580,0.945450,0.945450,Medio,Alto,Alto,Medio,Medio,Alto,Medio,Medio,515,44,252,542,15,542,52,52,Alto
0.400000,0.945450,0.254050,0.452250,0.436360,0.398200,0.381820,0.381820,Bajo,Medio,Medio,Medio,Alto,Medio,Medio,Medio,222,52,141,251,24,221,21,21,Medio
0.744140,0.600000,0.632430,0.780180,0.272730,0.596400,0.745450,0.600000,Medio,Medio,Medio,Medio,Medio,Alto,Medio,Medio,413,33,351,433,15,331,41,33,Medio
0.387390,0.200000,0.758560,0.385590,0.218180,0.920720,0.381820,0.981820,Medio,Medio,Alto,Medio,Medio,Medio,Medio,Medio,215,11,421,214,12,511,21,54,Medio
0.981980,0.400000,0.219820,0.938740,0.763640,0.940540,0.945450,0.927270,Medio,Medio,Medio,Medio,Medio,Medio,Medio,Alto,545,22,122,521,42,522,52,51,Medio
0.259460,0.218180,0.926130,0.207210,0.745450,0.763960,0.254550,0.818180,Medio,Medio,Bajo,Medio,Medio,Alto,Bajo,Medio,144,12,514,115,41,424,14,45,Medio
0.581980,0.618180,0.778380,0.601800,0.418180,0.616220,0.581820,0.618180,Medio,Medio,Alto,Medio,Medio,Medio,Medio,Medio,323,34,432,334,23,342,32,34,Medio
0.978380,0.454550,0.956760,0.945950,0.781820,0.632430,0.927270,0.636360,Bajo,Medio,Medio,Alto,Medio,Bajo,Medio,Medio,543,25,531,525,43,351,51,35,Medio
0.744140,0.600000,0.201800,0.776580,0.200000,0.598200,0.763640,0.563640,Medio,Medio,Medio,Medio,Medio,Bajo,Alto,Medio,413,33,112,431,11,332,42,31,Medio
0.760360,0.581820,0.974770,0.783780,0.436360,0.398200,0.745450,0.454550,Medio,Medio,Medio,Medio,Alto,Medio,Medio,Medio,422,32,541,435,24,221,41,25,Medio
0.940540,1.000000,0.279280,0.992790,0.454550,0.459460,1.000000,0.381820,Medio,Medio,Medio,Alto,Medio,Bajo,Medio,Medio,522,55,155,551,25,255,55,21,Medio
0.563960,0.800000,0.581980,0.618020,0.218180,0.618020,0.600000,0.600000,Medio,Alto,Medio,Medio,Medio,Alto,Medio,Medio,313,44,323,343,12,343,33,33,Medio
0.383780,0.418180,0.459460,0.400000,0.272730,0.603600,0.454550,0.581820,Medio,Alto,Alto,Alto,Medio,Medio,Medio,Alto,213,23,255,222,15,335,25,32,Alto
0.598200,0.272730,0.259460,0.560360,0.618180,0.457660,0.618180,0.381820,Bajo,Medio,Medio,Medio,Bajo,Alto,Alto,Medio,332,15,144,311,34,254,34,21,Medio
0.798200,0.981820,0.405410,0.814410,0.763640,0.621620,0.818180,0.581820,Medio,Bajo,Medio,Medio,Medio,Bajo,Medio,Alto,443,54,225,452,42,345,45,32,Medio
0.225230,0.381820,0.580180,0.221620,0.400000,0.922520,0.218180,0.963640,Alto,Alto,Medio,Medio,Alto,Medio,Medio,Medio,125,21,322,123,22,512,12,53,Alto
0.562160,0.945450,0.257660,0.632430,0.254550,0.401800,0.600000,0.381820,Alto,Medio,Alto,Medio,Alto,Medio,Medio,Medio,312,52,143,351,14,223,33,21,Alto
0.207210,0.218180,0.614410,0.203600,0.254550,0.938740,0.200000,0.963640,Medio,Medio,Medio,Medio,Alto,Medio,Bajo,Medio,115,12,341,113,14,521,11,53,Medio
0.418020,0.800000,0.958560,0.441440,0.600000,0.436040,0.400000,0.454550,Medio,Alto,Bajo,Medio,Medio,Medio,Medio,Medio,232,44,532,245,33,242,22,25,Medio
0.819820,0.945450,0.581980,0.816220,0.945450,0.942340,0.781820,0.963640,Medio,Medio,Medio,Medio,Medio,Medio,Medio,Medio,455,52,323,453,52,523,43,53,Medio
0.978380,0.600000,0.596400,0.960360,0.781820,0.596400,0.927270,0.600000,Bajo,Medio,Medio,Alto,Medio,Alto,Medio,Medio,543,33,331,533,43,331,51,33,Medio
0.452250,0.200000,0.978380,0.387390,0.981820,0.203600,0.418180,0.272730,Medio,Medio,Medio,Bajo,Medio,Alto,Medio,Medio,251,11,543,215,54,113,23,15,Medio
0.405410,0.563640,0.207210,0.416220,0.381820,0.927930,0.454550,0.927270,Medio,Medio,Medio,Bajo,Bajo,Bajo,Medio,Alto,225,31,115,231,21,515,25,51,Bajo
0.744140,0.381820,0.459460,0.760360,0.272730,0.567570,0.818180,0.581820,Medio,Alto,Alto,Medio,Medio,Medio,Medio,Alto,413,21,255,422,15,315,45,32,Alto
0.200000,0.418180,0.956760,0.225230,0.236360,0.236040,0.200000,0.272730,Medio,Alto,Medio,Medio,Medio,Medio,Bajo,Medio,111,23,531,125,13,131,11,15,Medio
0.455860,0.818180,0.601800,0.437840,0.963640,0.637840,0.436360,0.600000,Medio,Alto,Alto,Medio,Medio,Medio,Medio,Medio,253,45,334,243,53,354,24,33,Medio
0.563960,0.963640,0.565770,0.636040,0.200000,0.601800,0.618180,0.600000,Medio,Medio,Bajo,Bajo,Medio,Medio,Alto,Medio,313,53,314,353,11,334,34,33,Medio
0.636040,0.400000,0.814410,0.583780,1.000000,0.580180,0.581820,0.618180,Medio,Medio,Medio,Medio,Medio,Medio,Medio,Medio,353,22,452,324,55,322,32,34,Medio
0.203600,0.454550,0.261260,0.218020,0.254550,0.639640,0.272730,0.563640,Medio,Medio,Medio,Medio,Alto,Medio,Bajo,Medio,113,25,145,121,14,355,15,31,Medio
0.603600,0.618180,0.978380,0.603600,0.618180,0.978380,0.600000,1.000000,Medio,Medio,Medio,Medio,Bajo,Alto,Medio,Medio,335,34,543,335,34,543,33,55,Medio
0.457660,0.454550,0.632430,0.401800,1.000000,0.812610,0.381820,0.781820,Medio,Medio,Medio,Medio,Medio,Medio,Medio,Medio,254,25,351,223,55,451,21,43,Medio
0.223420,0.581820,0.800000,0.241440,0.436360,0.763960,0.254550,0.800000,Alto,Medio,Medio,Bajo,Alto,Alto,Bajo,Medio,124,32,444,134,24,424,14,44,Medio
0.996400,0.218180,0.200000,0.920720,0.927270,0.578380,0.927270,0.563640,Medio,Medio,Alto,Medio,Medio,Medio,Medio,Medio,553,12,111,511,51,321,51,31,Medio
0.922520,0.981820,0.563960,0.996400,0.200000,0.437840,0.963640,0.418180,Alto,Bajo,Medio,Bajo,Medio,Bajo,Medio,Medio,512,54,313,553,11,243,53,23,Bajo
0.385590,0.800000,0.760360,0.439640,0.218180,0.796400,0.400000,0.800000,Medio,Alto,Medio,Medio,Medio,Bajo,Medio,Medio,214,44,422,244,12,442,22,44,Medio
0.275680,0.800000,0.259460,0.254050,0.981820,0.619820,0.254550,0.563640,Bajo,Alto,Medio,Medio,Medio,Medio,Bajo,Medio,153,44,144,141,54,344,14,31,Medio
0.277480,0.636360,0.243240,0.236040,0.963640,0.819820,0.272730,0.745450,Medio,Bajo,Medio,Bajo,Medio,Medio,Bajo,Medio,154,35,135,131,53,455,15,41,Bajo
0.740540,0.981820,0.601800,0.816220,0.236360,0.259460,0.800000,0.236360,Medio,Bajo,Alto,Medio,Medio,Medio,Medio,Alto,411,54,334,453,13,144,44,13,Medio
0.763960,0.618180,0.600000,0.780180,0.418180,0.798200,0.781820,0.781820,Medio,Medio,Medio,Medio,Medio,Medio,Medio,Medio,424,34,333,433,23,443,43,43,Medio
0.760360,0.272730,0.221620,0.740540,0.400000,0.455860,0.781820,0.381820,Medio,Medio,Medio,Medio,Alto,Medio,Medio,Medio,422,15,123,411,22,253,43,21,Medio
0.614410,0.581820,0.614410,0.600000,0.800000,0.218020,0.563640,0.236360,Bajo,Medio,Medio,Alto,Medio,Medio,Alto,Alto,341,32,341,333,44,121,31,13,Medio
0.781980,0.763640,0.380180,0.796400,0.563640,0.758560,0.745450,0.763640,Alto,Medio,Medio,Alto,Medio,Medio,Medio,Alto,434,42,211,442,31,421,41,42,Alto
0.960360,0.236360,0.778380,0.926130,0.600000,0.598200,0.945450,0.618180,Medio,Alto,Alto,Alto,Medio,Bajo,Medio,Medio,533,13,432,514,33,332,52,34,Medio
0.798200,0.618180,0.944140,0.783780,0.763640,0.619820,0.800000,0.636360,Medio,Medio,Medio,Medio,Medio,Medio,Medio,Medio,443,34,524,435,42,344,44,35,Medio
0.942340,0.200000,0.219820,0.920720,0.400000,0.562160,0.945450,0.563640,Alto,Medio,Medio,Medio,Alto,Medio,Medio,Medio,523,11,122,511,22,312,52,31,Medio
0.452250,0.454550,0.636040,0.401800,1.000000,0.275680,0.418180,0.236360,Medio,Medio,Medio,Medio,Medio,Bajo,Medio,Alto,251,25,353,223,55,153,23,13,Medio
0.636040,0.800000,0.780180,0.619820,0.963640,0.618020,0.600000,0.618180,Medio,Alto,Medio,Medio,Medio,Alto,Medio,Medio,353,44,433,344,53,343,33,34,Medio
1.000000,0.454550,0.452250,0.940540,1.000000,0.992790,0.927270,0.945450,Alto,Medio,Medio,Medio,Medio,Alto,Medio,Medio,555,25,251,522,55,551,51,52,Medio
0.740540,0.236360,0.747750,0.745950,0.200000,0.243240,0.818180,0.254550,Medio,Alto,Bajo,Medio,Medio,Alto,Medio,Medio,411,13,415,414,11,135,45,14,Medio
0.639640,0.418180,0.956760,0.585590,0.963640,0.956760,0.563640,1.000000,Alto,Alto,Medio,Medio,Medio,Alto,Alto,Medio,355,23,531,325,53,531,31,55,Alto
0.781980,0.636360,0.616220,0.780180,0.618180,0.814410,0.763640,0.781820,Alto,Bajo,Alto,Medio,Bajo,Alto,Alto,Medio,434,35,342,433,34,452,42,43,Medio
0.261260,0.400000,0.254050,0.218020,0.800000,0.938740,0.200000,0.927270,Medio,Medio,Medio,Medio,Medio,Medio,Bajo,Alto,145,22,141,121,44,521,11,51,Medio
0.385590,0.200000,0.781980,0.385590,0.236360,0.745950,0.436360,0.800000,Medio,Medio,Alto,Medio,Medio,Medio,Medio,Medio,214,11,434,214,13,414,24,44,Medio
0.614410,0.218180,0.581980,0.563960,0.763640,0.221620,0.600000,0.236360,Bajo,Medio,Medio,Alto,Medio,Medio,Medio,Alto,341,12,323,313,42,123,33,13,Medio
0.763960,0.763640,0.818020,0.800000,0.454550,0.763960,0.800000,0.800000,Medio,Medio,Medio,Medio,Medio,Alto,Medio,Medio,424,42,454,444,25,424,44,44,Medio
0.960360,0.781820,0.801800,0.980180,0.618180,0.603600,1.000000,0.618180,Medio,Medio,Medio,Bajo,Bajo,Medio,Medio,Medio,533,43,445,544,34,335,55,34,Bajo
0.273870,0.218180,0.938740,0.207210,0.945450,0.398200,0.200000,0.454550,Bajo,Medio,Medio,Medio,Medio,Medio,Bajo,Medio,152,12,521,115,52,221,11,25,Bajo
0.783780,0.600000,0.745950,0.781980,0.563640,0.962160,0.800000,0.981820,Alto,Medio,Medio,Bajo,Medio,Medio,Medio,Medio,435,33,414,434,31,534,44,54,Medio
0.598200,0.963640,0.223420,0.632430,0.581820,0.421620,0.618180,0.381820,Bajo,Medio,Alto,Medio,Bajo,Bajo,Alto,Medio,332,53,124,351,32,234,34,21,Medio
0.434230,0.745450,0.454050,0.436040,0.818180,0.201800,0.400000,0.218180,Medio,Bajo,Alto,Medio,Alto,Medio,Medio,Bajo,241,41,252,242,45,112,22,12,Medio
0.441440,0.981820,0.945950,0.459460,0.763640,0.981980,0.454550,1.000000,Alto,Bajo,Medio,Bajo,Medio,Medio,Medio,Medio,245,54,525,255,42,545,25,55,Medio
0.637840,0.563640,0.616220,0.600000,0.981820,0.742340,0.581820,0.781820,Medio,Medio,Alto,Alto,Medio,Medio,Medio,Medio,354,31,342,333,54,412,32,43,Medio
0.255860,1.000000,0.796400,0.277480,0.800000,0.454050,0.218180,0.436360,Bajo,Medio,Alto,Medio,Medio,Medio,Medio,Medio,142,55,442,154,44,252,12,24,Medio
0.454050,0.818180,0.740540,0.439640,0.927270,0.452250,0.381820,0.436360,Medio,Alto,Alto,Medio,Medio,Medio,Medio,Medio,252,45,411,244,51,251,21,24,Medio
0.273870,1.000000,0.203600,0.272070,0.927270,0.455860,0.236360,0.381820,Bajo,Medio,Medio,Medio,Medio,Medio,Alto,Medio,152,55,113,151,51,253,13,21,Medio
0.956760,0.454550,0.740540,0.944140,0.563640,0.272070,0.927270,0.254550,Medio,Medio,Alto,Alto,Medio,Bajo,Medio,Medio,531,25,411,524,31,151,51,14,Medio
0.634230,0.981820,0.203600,0.632430,0.927270,0.437840,0.600000,0.381820,Medio,Bajo,Medio,Medio,Medio,Bajo,Medio,Medio,352,54,113,351,51,243,33,21,Bajo
0.924320,0.272730,0.958560,0.927930,0.236360,0.634230,0.945450,0.636360,Medio,Medio,Bajo,Medio,Medio,Alto,Medio,Medio,513,15,532,515,13,352,52,35,Medio
0.600000,0.254550,0.567570,0.563960,0.563640,0.621620,0.636360,0.600000,Bajo,Medio,Medio,Alto,Medio,Bajo,Bajo,Medio,333,14,315,313,31,345,35,33,Bajo
